Surname;First name;City;Class;Time;Pl;Points;OLP1;OLP2;OLP3;OLP4;OLP5;Sum;Average
Tušar;Peter;OK Azimut;ELITE;0:39:36;1;100.0;100.0;;100.0;100.0;100.0;400.0;100.0
Bogataj;Mark;OK Azimut;ELITE;0:51:25;4;70.16;26.38;83.04;10.47;45.64;70.16;235.69;47.14
Stanonik;Simon;OK Azimut;ELITE;;;;9.08;100.0;;66.72;;175.8;58.6
Cimerman;Janez;OK Azimut;ELITE;1:00:01;9;48.44;;66.82;56.35;;48.44;171.61;57.2
Pavšič;Aljaž;OK Azimut;ELITE;;;;37.59;75.8;;57.38;;170.77;56.92
Gantar;Lara;OK Azimut;ELITE;0:59:27;8;49.87;49.22;59.07;0;;49.87;158.16;39.54
Škarabot;Miha;OK Polaris;ELITE;;;;;85.35;;72.18;;157.53;78.77
Poljanšek;Aleš;OK Azimut;ELITE;;;;;81.36;70.67;;;152.03;76.02
Simon;Stanonik;OK Azimut;ELITE;0:48:51;3;76.64;;;4.91;;76.64;81.55;40.77
Hadalin;Anže;OK Azimut;ELITE;;;;;;;80.45;;80.45;80.45
Kenda;Klemen;OK Azimut;ELITE;;;;79.72;;;;;79.72;79.72
Urša;Beguš;OK Azimut;ELITE;1:01:22;10;45.03;;;6.9;27.11;45.03;79.04;26.35
Petrovič;Dušan;OK Polaris;ELITE;;;;;;78.73;;;78.73;78.73
Flerin;Mojca;OK Komenda;ELITE;0:48:21;2;77.9;;;;;77.9;77.9;77.9
Močnik;Matic;OK Azimut;ELITE;0:54:43;7;61.83;;;15.34;;61.83;77.17;38.59
Škarabot;Matej;OK Polaris;ELITE;;;;;57.89;;17.41;;75.3;37.65
Petrovič;Gašper;OK Polaris;ELITE;;;;;;69.97;;;69.97;69.97
Petrovič;Blaž;OK Polaris;ELITE;;;;;;69.23;;;69.23;69.23
Jeram;Nuša;OK Azimut;ELITE;;;;;;;68.3;;68.3;68.3
Foški;Valter;OK Polaris;ELITE;0:52:28;5;67.51;;;;;67.51;67.51;67.51
Foški;Mojca;OK Polaris;ELITE;0:53:45;6;64.27;;;;;64.27;64.27;64.27
Matic;Močnik;OK Azimut;ELITE;;;;;;;62.84;;62.84;62.84
De Luisa;Andraž;SSD Gaja;ELITE;;;;;59.4;;;;59.4;59.4
Kacin;Vojko;OK Azimut;ELITE;;;;;;53.71;;;53.71;53.71
Mrak;Aleš;OŠ Poljane;ELITE;;;;;;;51.76;;51.76;51.76
Pribaković Borštnik;Ana;OK Tivoli;ELITE;;;;;;49.4;;;49.4;49.4
Eržen;Boris;OK Polaris;ELITE;;;;;49.19;;;;49.19;49.19
Zorman;Jernej;OK Komenda;ELITE;;;;42.55;;;;;42.55;42.55
Šutanovac;Avgusta;OK Azimut;ELITE;;;;;;;33.69;;33.69;33.69
De Luisa;Marko;SSD Gaja;ELITE;;;;;31.27;;;;31.27;31.27
Foški;Brina;OK Polaris;ELITE;1:07:16;11;30.13;;;;;30.13;30.13;30.13
Trček;Petra;OK Azimut;ELITE;1:07:27;12;29.67;;;;;29.67;29.67;29.67
Plavčak;Luka;OK Polaris;ELITE;1:19:12;14;0.0;;27.23;;;0.0;27.23;13.62
Beguš;Urša;OK Azimut;ELITE;;;;26.52;;;;;26.52;26.52
Plavčak;Ana;OK Azimut;ELITE;mp;;;;18.64;;;-;18.64;18.64
Kavčič;Domen;OK Azimut;ELITE;;;;;;;17.76;;17.76;17.76
Lapajne;Janko;OK Azimut;ELITE;;;;;;0;17.56;;17.56;8.78
Jevšnik;Žiga;OK Azimut;ELITE;;;;0;17.18;;;;17.18;8.59
Vodopivec;Samo;OK Azimut;ELITE;1:14:20;13;12.29;;;;;12.29;12.29;12.29
Aljoša;Primožič;OK Azimut;ELITE;;;;;;;7.96;;7.96;7.96
Borštnik;Aleš;OK Tivoli;ELITE;;;;;;5.56;;;5.56;5.56
Uranjek;Irena;Mariborski OK;ELITE;;;;;;;2.09;;2.09;2.09
Tjaša;Žiga;ind.;ELITE;;;;0;;;;;0;0.0
Sedej;Vlado;OK Azimut;ELITE;;;;;;;0;;0;0.0
Kogovšek;Tjaša;OK Azimut;ELITE;1:49:40;18;0;;;;0;0;0;0.0
Rejec;Pavel;OK Azimut;ELITE;;;;;;0;;;0;0.0
Marolt;Nejc;ind.;ELITE;mp;;;;;;;-;0;0
Rejec;Marjana;OK Azimut;ELITE;;;;;;0;;;0;0.0
Rejec;Gašper;OK Azimut;ELITE;;;;;;0;;;0;0.0
Kotar;Dušan;ind.;ELITE;1:27:16;15;0;;;;;0;0;0.0
Pia;Dobravec;OK Azimut;ELITE;;;;;;;0;;0;0.0
Knap;Črtomir;OK Azimut;ELITE;;;;;;;0;;0;0.0
Nelson;Charles;ind.;ELITE;;;;;;0;;;0;0.0
Rupnik;Blažka;OK Azimut;ELITE;1:48:36;16;0;;;;;0;0;0.0
Humar;Anja;OK Azimut;ELITE;1:49:09;17;0;;;;0;0;0;0.0
