@SI
Pl;First name;Surname;City;Time;Classifier;Short
1;Peter;Tušar;OK Azimut;00:32:39;0;ELITE
2;Anže;Hadalin;OK Azimut;00:39:02;0;ELITE
3;Miha;Škarabot;OK Polaris;00:41:44;0;ELITE
4;Nuša;Jeram;OK Azimut;00:43:00;0;ELITE
5;Simon;Stanonik;OK Azimut;00:43:31;0;ELITE
6;Močnik;Matic;OK Azimut;00:44:47;0;ELITE
7;Aljaž;Pavšič;OK Azimut;00:46:34;0;ELITE
8;Aleš;Mrak;OŠ Poljane;00:48:24;0;ELITE
9;Mark;Bogataj;OK Azimut;00:50:24;0;ELITE
10;Avgusta;Šutanovac;OK Azimut;00:54:18;0;ELITE
11;Beguš;Urša;OK Azimut;00:56:27;0;ELITE
12;Domen;Kavčič;OK Azimut;00:59:30;0;ELITE
13;Janko;Lapajne;OK Azimut;00:59:34;0;ELITE
14;Matej;Škarabot;OK Polaris;00:59:37;0;ELITE
15;Primožič;Aljoša;OK Azimut;01:02:42;0;ELITE
16;Irena;Uranjek;MOK;01:04:37;0;ELITE
17;Črtomir;Knap;OK Azimut;01:11:15;0;ELITE
18;Vlado;Sedej;OK Azimut;01:11:51;0;ELITE
19;Tjaša;Kogovšek;OK Azimut;01:17:14;0;ELITE
20;Anja;Humar;OK Azimut;01:22:05;0;ELITE
21;Dobravec;Pia;OK Azimut;01:25:14;0;ELITE
