Surname;First name;City;Class;Time;Pl;Points;OLP 1;OLP 2;OLP 3;OLP 4;OLP 6;OLP 7;Sum;Average
Eržen;Valentin;OK Azimut;A;0:30:03;3;99.74;67.36;76.11;110.66;;;99.74;353.88;88.47
Tušar;Peter;OK Azimut;A;42:10;;;110.95;99.12;;106.00;;;316.07;105.36
Obid;Marko;OK Azimut;A;0:32:04;5;92.22;;57.05;85.78;57.41;;92.22;292.47;73.12
Knap;Franc;OK Azimut;A;49:11;;;59.89;89.17;112.00;;;;261.06;87.02
Sedej;Matej;OK Azimut;A;0:32:48;6;89.39;;66.37;94.05;;;89.39;249.81;83.27
Gantar;Tjaž;OK Azimut;A;0:27:13;2;109.88;72.39;61.17;;;;109.88;243.44;81.15
Stanonik;Simon;OK Azimut;A;39:29;;;112.74;115.00;;;;;227.74;113.87
Hvala;Gregor;OK Azimut;A;0:26:22;1;114.00;106.39;;;;;114.00;220.39;110.20
Bogataj;Mark;OK Azimut;A;49:24;;;102.48;92.93;;;;;195.41;97.70
Poljanšek;Aleš;OK Azimut;A;0:31:35;4;94.48;;87.84;0.00;;;94.48;182.32;60.77
Pust;Tomaž;OK Komenda;A;0:35:11;7;82.94;;;78.32;;;82.94;161.26;80.63
Groff;Tomaž;OK Azimut;A;65:29;;;;80.29;77.11;;;;157.40;78.70
Pavliè;Gregor;GAJA;A;69:25;;;;;70.10;65.74;;;135.84;67.92
Èufer;Stanko;PD Ajdovšèina;A;0:40:54;14;65.47;;;;61.32;;65.47;126.78;63.39
Procházka;David;LPU;A;36:41;;;122.00;;;;;;122.00;122.00
Køivda;Tomáš;LPU;A;37:09;;;119.74;;;;;;119.74;119.74
Hadalin;Iztok;OK Azimut;A;84:36;;;;67.56;;51.84;;;119.40;59.70
Boril;Jan;LPU;A;37:21;;;118.22;;;;;;118.22;118.22
Salopek;Tihomir;OK Azimut;A;49:27;;;;;109.46;;;;109.46;109.46
Zakouril;Vit;LPU;A;40:32;;;107.50;;;;;;107.50;107.50
Škarabot;Miha;OK Polaris;A;51:17;;;;;104.91;;;;104.91;104.91
Wenzel;Hannes;OLCU Viktring;A;52:27;;;;;101.77;;;;101.77;101.77
Marecev;Šimon;LPU;A;42:59;;;99.34;;;;;;99.34;99.34
Cech;Petr;LPU;A;44:27;;;95.53;;;;;;95.53;95.53
Rusin;Jan;LPU;A;46:00;;;91.75;;;;;;91.75;91.75
Volák;Ondøej;LPU;A;46:25;;;90.03;;;;;;90.03;90.03
Anderluh;Gregor;OK Polaris;A;59:02;;;;;89.31;;;;89.31;89.31
Semrád;Ladislav;LPU;A;47:02;;;87.99;;;;;;87.99;87.99
Roudný;Martin;LPU;A;47:12;;;86.72;;;;;;86.72;86.72
Mechancký;Jan;LPU;A;47:12;;;85.72;;;;;;85.72;85.72
Jan Sr.;Rusin;LPU;A;47:18;;;84.55;;;;;;84.55;84.55
Giacometti;Carlo;GAJA;A;62:00;;;;;83.33;;;;83.33;83.33
Jazbar;Jožko;OK Azimut;A;54:41;;;;82.20;;;;;82.20;82.20
Polojaz;Goran;SSD-AŠZ Gaja;A;0:36:30;8;79.24;;;;;;79.24;79.24;79.24
Pelessoni;Jožef;SSD-AŠZ Gaja;A;0:36:52;9;77.52;;;;;;77.52;77.52;77.52
Bettin;Renato;Swallows Noale;A;0:37:04;10;76.13;;;;;;76.13;76.13;76.13
Kurinèiè;Simon;OK Komenda;A;0:37:57;11;73.48;;;;;;73.48;73.48;73.48
Roudny;Vacláv;LPU;A;54:23;;;73.45;;;;;;73.45;73.45
Bogataj;Boštjan;OK Azimut;A;0:38:05;12;72.23;;;;;;72.23;72.23;72.23
Rupnik;Ambrož;OK Azimut;A;;;;71.35;0.00;0.00;;;;71.35;23.78
Zupan;Aleš;OK Polaris;A;70:01;;;;;71.25;;;;71.25;71.25
Ferluga;Peter;SSD-AŠZ Gaja;A;0:39:10;13;69.32;;;;;;69.32;69.32;69.32
Èopi;Gašper;OK Azimut;A;68:07;;;;62.96;;;;;62.96;62.96
Eržen;Boris;ŠOK;A;69:24;;;;59.89;;;;;59.89;59.89
Podobnik;Primož;OK Azimut;A;0:44:27;15;59.32;;;;;;59.32;59.32;59.32
Fencl;Jiri;LPU;A;63:28;;;58.80;;;;;;58.80;58.80
Pipek;Ondàej;LPU;A;65:08;;;56.32;;;;;;56.32;56.32
Kete;Ivo;PD Ajdovšèina;A;85:49;;;;;;50.14;;;50.14;50.14
Èopi;Simon;OK Azimut;A;91:12;;;;44.29;;;;;44.29;44.29
Brus;Jakob;OK Azimut;A;91:42;;;;43.06;;;;;43.06;43.06
Vidiè;Matej;OK Azimut;A;110:49;;;;;;38.05;;;38.05;38.05
Sylvester;Mark;UWCAd;A;;;;0.00;;;;;;0.00;0.00
Fencl;Jonáš;LPU;A;36:51;;;0.00;;;;;;0.00;0.00
Kenda;Klemen;OK Azimut;A;;;;;0.00;;;;;0.00;0.00
Škarabot;Matej;OK Polaris;A;;;;;;0.00;;;;0.00;0.00
Èerne;Aljaž;OK Tivoli;A;;;;;;0.00;;;;0.00;0.00
Taljat;Žiga;OK Azimut;A;;;;;;0.00;;;;0.00;0.00
Rojc;Iztok;OK Polaris;A;;;;;;0.00;;;;0.00;0.00
Tušar;Teja;OK Azimut;B;36:04;;;56.00;90.64;0.00;100.59;;;247.23;61.81
Sedej;Vlado;OK Azimut;B;0:42:47;7;78.17;58.03;;73.99;;;78.17;210.19;70.06
Nelson;Charles;OK Azimut;B;0:51:02;12;62.15;59.74;;;74.18;;62.15;196.07;65.36
Hölzer;Thomas;X-OL;B;42:36;;;71.36;111.00;;;;;182.36;91.18
Gantar;Damjana;OK Azimut;B;0:44:57;8;73.89;45.92;57.81;;;;73.89;177.62;59.21
Vidiè;Matej;OK Azimut;B;65:14;;;;77.98;89.78;;;;167.76;83.88
Poženel;Natan Maj;OK Azimut;B;57:45;;;;;94.96;61.20;;;156.16;78.08
Bogataj;Boštjan;OK Azimut;B;45:16;;;73.40;;;79.97;;;153.38;76.69
Bogataj;Rok;OK Azimut;B;0:40:35;5;83.87;;;;63.47;;83.87;147.33;73.67
Obid;Aljaž;OK Azimut;B;42:55;;;;;56.72;84.97;;;141.69;70.84
Cechová;Tereza;LPU;B;36:10;;;127.00;;;;;;127.00;127.00
Knapová;Lenka;LPU;B;38:08;;;120.84;;;;;;120.84;120.84
Bogataj;Tajda;OK Azimut;B;0:29:10;1;116.00;;;;;;116.00;116.00;116.00
Kaplan;Jan;LPU;B;40:01;;;115.38;;;;;;115.38;115.38
Semrádová;Jana;LPU;B;40:04;;;114.27;;;;;;114.27;114.27
Poljanšek;Marjanca;OK Azimut;B;0:54:13;15;55.80;;;;58.22;;55.80;114.02;57.01
Salopek;Tihon;OK Azimut;B;53:21;;;;;110.00;;;;110.00;110.00
Kenda;Klemen;OK Azimut;B;33:02;;;;;;110.00;;;110.00;110.00
Kopecká;Anna;LPU;B;41:47;;;109.56;;;;;;109.56;109.56
Babiè;Katja;OK Komenda;B;0:31:35;2;107.35;;;;;;107.35;107.35;107.35
Jezeršek;Polona;OK Komenda;B;45:27;;;;103.73;;;;;103.73;103.73
Wanková;Martina;LPU;B;44:29;;;103.30;;;;;;103.30;103.30
Pavliè;Zdenko;GAJA;B;60:42;;;;;45.97;56.42;;;102.39;51.20
Žvanut;Tilen;PD Ajdovšèina;B;65:36;;;50.34;;;51.36;;;101.70;50.85
Rupnik;Andraž;OK Azimut;B;0:34:21;3;98.91;;;;;;98.91;98.91;98.91
Poljanšek;Nika;OK Azimut;B;;;;;95.64;0.00;;;;95.64;47.82
Obid;Marko;OK Azimut;B;50:10;;;93.09;;;;;;93.09;93.09
Peterová;Jana;LPU;B;51:14;;;90.59;;;;;;90.59;90.59
Celik;Aljaz;OK Azimut;B;51:42;;;;89.40;;;;;89.40;89.40
Kurinèiè;Simon;OK Komenda;B;51:50;;;88.77;;;;;;88.77;88.77
Sepin;Chiara;SSD-AŠZ Gaja;B;0:39:47;4;86.31;;;;;;86.31;86.31;86.31
Zavrl;Zala;OK Komenda;B;53:03;;;;86.30;;;;;86.30;86.30
Vojtíšková;Viktorie;LPU;B;53:10;;;86.03;;;;;;86.03;86.03
